Baseline 100%T,,
Wavelength (nm),%T,
2811,111.8232117,
2810.5,111.8851547,
2810,111.8751373,
2809.5,111.8981476,
2809,111.9363174,
2808.5,111.8800507,
2808,111.8641586,
2807.5,111.8266144,
2807,111.754158,
2806.5,111.762558,
2806,111.6641541,
2805.5,111.5727692,
2805,111.5186081,
2804.5,111.4436417,
2804,111.4594421,
2803.5,111.4112625,
2803,111.4153366,
2802.5,111.4954987,
2802,111.5290909,
2801.5,111.641571,
2801,111.7505798,
2800.5,111.8341217,
2800,111.9469757,
2799.5,111.9762268,
2799,112.0111465,
2798.5,112.0362625,
2798,112.0395203,
2797.5,112.0908966,
2797,112.0941391,
2796.5,112.0814438,
2796,112.0984039,
2795.5,112.0439682,
2795,112.0288391,
2794.5,112.0233078,
2794,111.988472,
2793.5,112.0196228,
2793,111.9857559,
2792.5,111.9566956,
2792,111.9766006,
2791.5,111.9316483,
2791,111.9637375,
2790.5,111.9486923,
2790,111.8816986,
2789.5,111.8308792,
2789,111.7586136,
2788.5,111.7430954,
2788,111.7576752,
2787.5,111.746666,
2787,111.8507996,
2786.5,111.8919983,
2786,111.9652252,
2785.5,112.0765533,
2785,112.1072617,
2784.5,112.2054825,
2784,112.237381,
2783.5,112.2649078,
2783,112.3095627,
2782.5,112.2622986,
2782,112.256134,
2781.5,112.2696381,
2781,112.2387085,
2780.5,112.2312546,
2780,112.1952896,
2779.5,112.1811829,
2779,112.2228165,
2778.5,112.2058868,
2778,112.2408905,
2777.5,112.3224869,
2777,112.3279114,
2776.5,112.414917,
2776,112.4206696,
2775.5,112.4468689,
2775,112.538147,
2774.5,112.5125046,
2774,112.5194397,
2773.5,112.4599457,
2773,112.3521118,
2772.5,112.3212585,
2772,112.2230301,
2771.5,112.1530151,
2771,112.1893387,
2770.5,112.1822815,
2770,112.2222443,
2769.5,112.2349701,
2769,112.2735596,
2768.5,112.3784409,
2768,112.4320145,
2767.5,112.4746704,
2767,112.5288391,
2766.5,112.5530624,
2766,112.6132965,
2765.5,112.6700439,
2765,112.7547836,
2764.5,112.8869019,
2764,112.9696579,
2763.5,113.032341,
2763,113.1347427,
2762.5,113.17099,
2762,113.3010025,
2761.5,113.4055176,
2761,113.4912033,
2760.5,113.6110687,
2760,113.6093826,
2759.5,113.5687485,
2759,113.5017548,
2758.5,113.3694382,
2758,113.2224884,
2757.5,113.0356522,
2757,112.8140411,
2756.5,112.6631241,
2756,112.4994278,
2755.5,112.4595261,
2755,112.4450226,
2754.5,112.4193192,
2754,112.5009689,
2753.5,112.5961761,
2753,112.6517868,
2752.5,112.7928162,
2752,112.8668213,
2751.5,112.9620895,
2751,113.0504379,
2750.5,113.1165848,
2750,113.2172928,
2749.5,113.3088379,
2749,113.4005585,
2748.5,113.5227051,
2748,113.5592728,
2747.5,113.6400681,
2747,113.6929779,
2746.5,113.6912384,
2746,113.7862091,
2745.5,113.8058167,
2745,113.7972336,
2744.5,113.8121338,
2744,113.6967163,
2743.5,113.5859222,
2743,113.4713135,
2742.5,113.2757568,
2742,113.1365662,
2741.5,112.9228134,
2741,112.7993927,
2740.5,112.7445831,
2740,112.7018356,
2739.5,112.7661209,
2739,112.8476028,
2738.5,112.8891144,
2738,112.9700165,
2737.5,112.9915085,
2737,113.0480652,
2736.5,113.1080627,
2736,113.1175079,
2735.5,113.1824036,
2735,113.2245865,
2734.5,113.2436142,
2734,113.3172607,
2733.5,113.3600082,
2733,113.4459,
2732.5,113.5516663,
2732,113.5858154,
2731.5,113.6935577,
2731,113.7350082,
2730.5,113.7487564,
2730,113.8109665,
2729.5,113.7245026,
2729,113.66465,
2728.5,113.5542908,
2728,113.3801727,
2727.5,113.2380753,
2727,113.0410156,
2726.5,112.8722458,
2726,112.7369766,
2725.5,112.5794525,
2725,112.5233994,
2724.5,112.47612,
2724,112.4841919,
2723.5,112.545929,
2723,112.5649796,
2722.5,112.6463776,
2722,112.7457733,
2721.5,112.8267288,
2721,112.9541016,
2720.5,113.0354156,
2720,113.1088638,
2719.5,113.2147217,
2719,113.2653198,
2718.5,113.3995743,
2718,113.5584869,
2717.5,113.6631241,
2717,113.8201981,
2716.5,113.9028091,
2716,113.9474182,
2715.5,113.9788132,
2715,113.9037857,
2714.5,113.8512039,
2714,113.7708206,
2713.5,113.5782852,
2713,113.4012833,
2712.5,113.1262207,
2712,112.8835449,
2711.5,112.6696091,
2711,112.4126053,
2710.5,112.2812958,
2710,112.1662979,
2709.5,112.0822525,
2709,112.1445618,
2708.5,112.1692657,
2708,112.2742767,
2707.5,112.4266968,
2707,112.505806,
2706.5,112.6110229,
2706,112.6562805,
